codigo_interno,etapa,core,linha,produto_compra,eixo_a,eixo_b,novo_sku,sku_atual
5BC-ILD,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,BUCHA REDUÇÃO ROSCÁVEL,,3/4 X 1/2,BUCHA REDUÇÃO ROSCÁVEL 3/4 X 1/2,BUCHA RED. ROSCÁVEL ROSCAVEL 3/4 X 1/2
TDN-3WI,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,BUCHA REDUÇÃO ROSCÁVEL,,1 X 3/4,BUCHA REDUÇÃO ROSCÁVEL 1 X 3/4,BUCHA RED. ROSCÁVEL ROSCAVEL 1 X 3/4
Z41-S5T,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,BUCHA REDUÇÃO ROSCÁVEL,,1 1/4 X 1,BUCHA REDUÇÃO ROSCÁVEL 1 1/4 X 1,BUCHA RED. ROSCÁVEL ROSCAVEL 1 1/4 X 1
500-8RT,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,BUCHA REDUÇÃO SOLDÁVEL,LONGA,32 x 25,BUCHA REDUÇÃO SOLDÁVEL LONGA 32 x 25,BUCHA RED. SOLD SOLDÁVEL LONGA 32 x 25
7HL-YQY,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,BUCHA REDUÇÃO SOLDÁVEL,CURTA,32 x 25,BUCHA REDUÇÃO SOLDÁVEL CURTA 32 x 25,BUCHA RED. SOLD SOLDÁVEL CURTA 32 x 25
8SL-VA5,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,BUCHA REDUÇÃO SOLDÁVEL,CURTA,25 X 20,BUCHA REDUÇÃO SOLDÁVEL CURTA 25 X 20,BUCHA RED. SOLD SOLDÁVEL CURTA 25 X 20
CO3-8UV,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,BUCHA REDUÇÃO SOLDÁVEL,LONGA,32 x 20,BUCHA REDUÇÃO SOLDÁVEL LONGA 32 x 20,BUCHA RED. SOLD SOLDÁVEL LONGA 32 x 20
LLL-7X5,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,BUCHA REDUÇÃO SOLDÁVEL,LONGA,40 X 20,BUCHA REDUÇÃO SOLDÁVEL LONGA 40 X 20,BUCHA RED. SOLD SOLDÁVEL LONGA 40 X 20
Q32-MLY,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,BUCHA REDUÇÃO SOLDÁVEL,LONGA,25 X 20,BUCHA REDUÇÃO SOLDÁVEL LONGA 25 X 20,BUCHA RED. SOLD SOLDÁVEL LONGA 25 X 20
S16-ZRO,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,BUCHA REDUÇÃO SOLDÁVEL,CURTA,40 x 32,BUCHA REDUÇÃO SOLDÁVEL CURTA 40 x 32,BUCHA RED. SOLD SOLDÁVEL CURTA 40 x 32
W7I-BRH,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,BUCHA REDUÇÃO SOLDÁVEL,CURTA,50 X 40,BUCHA REDUÇÃO SOLDÁVEL CURTA 50 X 40,BUCHA RED. SOLD SOLDÁVEL CURTA 50 X 40
