codigo_interno,etapa,core,linha,produto_compra,eixo_a,eixo_b,novo_sku,sku_atual
EMM-6CX,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,ARMAÇÃO NUCLEAR P/ PONTALETE,MONOFÁSICA 2 POLOS,,ARMAÇÃO NUCLEAR P/ PONTALETE MONOFÁSICA 2 POLOS,ARMAÇÃO NUCLEAR P/ PONTALETE MONOFÁSICA 2 POLOS
MW1-5SP,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,ARMAÇÃO NUCLEAR P/ PONTALETE,BIFÁSICA 3 POLOS,,ARMAÇÃO NUCLEAR P/ PONTALETE BIFÁSICA 3 POLOS,ARMAÇÃO NUCLEAR P/ PONTALETE BIFÁSICA 3 POLOS
3J8-MDQ,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,ARRUELA ELETRODUTO,1,,ARRUELA ELETRODUTO 1,ARRUELA ELETRODUTO 1
57K-AT1,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,ARRUELA ELETRODUTO,3/4',,ARRUELA ELETRODUTO 3/4',ARRUELA ELETRODUTO 3/4'
F1E-XDB,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,ARRUELA ELETRODUTO,1/2',,ARRUELA ELETRODUTO 1/2',ARRUELA ELETRODUTO 1/2'
VR3-LZE,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,ARRUELA ELETRODUTO,1 1/4',,ARRUELA ELETRODUTO 1 1/4',ARRUELA ELETRODUTO 1 1/4'
UQA-25Q,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,BENJAMIN PADRÃO,10A,,BENJAMIN PADRÃO 10A,BENJAMIN PADRÃO 10A
M9T-TGC,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,BUCHA ELETRODUTO,3/4',INCA,BUCHA ELETRODUTO 3/4' INCA,BUCHA ELETRODUTO 3/4' INCA
S84-3HB,3 — Instalações brutas,,MATERIAL ELÉTRICO,CAIXA DE DISTRIBUIÇAO,QUADRADA,PERFLEX,CAIXA DE DISTRIBUIÇAO QUADRADA PERFLEX,CAIXA DE DISTRIBUIÇAO QUADRADA PERFLEX
WKQ-9ZB,7 — Instalação elétrica,PONTOS_ELETRICOS,MATERIAL ELÉTRICO,CAIXA DE LUZ,4X4,,CAIXA DE LUZ 4X4,CAIXA DE LUZ 4X4
2JT-AP0,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,CAIXA DE LUZ,BIFÁSICA,,CAIXA DE LUZ BIFÁSICA,CAIXA DE LUZ P/ CONTADOR BIFÁSICA
857-7U6,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,CAIXA DE LUZ,MONOFÁSICA,,CAIXA DE LUZ MONOFÁSICA,CAIXA DE LUZ P/ CONTADOR MONOFÁSICA
J09-LMQ,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,CAIXA DE LUZ,TRIFÁSICA,,CAIXA DE LUZ TRIFÁSICA,CAIXA DE LUZ P/ CONTADOR TRIFÁSICA
H9D-I9B,3 — Instalações brutas,,MATERIAL ELÉTRICO,CAIXA DE STOP P/AR,,,CAIXA DE STOP P/AR,CAIXA DE STOP P/AR CONDICIONADO
8F9-EST,7 — Instalação elétrica,PONTOS_ELETRICOS,MATERIAL ELÉTRICO,CAIXINHA DE LUZ,4 X 4,,CAIXINHA DE LUZ 4 X 4,CAIXINHA DE LUZ PLÁSTICA 4 X 4
IJ9-12R,7 — Instalação elétrica,PONTOS_ELETRICOS,MATERIAL ELÉTRICO,CAIXINHA DE LUZ,4X2,,CAIXINHA DE LUZ 4X2,CAIXINHA DE LUZ PLÁSTICA 4X2
0MI-G2T,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,CANALETA ELETRODUTO,2 MT,,CANALETA ELETRODUTO 2 MT,CANALETA ELETRODUTO 2 MT
PN1-5RP,3 — Instalações brutas,INFRA_ELETRICA,MATERIAL ELÉTRICO,CONDUITE CORRUGADO,1/2',TRAMONTINA,CONDUITE CORRUGADO 1/2' TRAMONTINA,CONDUITE CORRUGADO 1/2' TRAMONTINA
WS5-1BB,3 — Instalações brutas,INFRA_ELETRICA,MATERIAL ELÉTRICO,CONDUITE CORRUGADO,3/4',TRAMONTINA,CONDUITE CORRUGADO 3/4' TRAMONTINA,CONDUITE CORRUGADO 3/4' TRAMONTINA
G21-LEK,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,CONECTOR P/HASTE ATERRAM.1/2 TAF,1/2,,CONECTOR P/HASTE ATERRAM.1/2 TAF 1/2,CONECTOR P/HASTE ATERRAM.1/2 TAF
43H-3CP,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,CURVA ELETRODUTO,1,,CURVA ELETRODUTO 1,CURVA ELETRODUTO 1
4SA-HRO,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,CURVA ELETRODUTO,1/2',,CURVA ELETRODUTO 1/2',CURVA ELETRODUTO 1/2'
SG4-GA6,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,CURVA ELETRODUTO,1 1/2',,CURVA ELETRODUTO 1 1/2',CURVA ELETRODUTO 1 1/2'
SQK-X2C,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,CURVA ELETRODUTO,3/4',,CURVA ELETRODUTO 3/4',CURVA ELETRODUTO 3/4'
W7O-CAF,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,CURVA ELETRODUTO,1 1/4',,CURVA ELETRODUTO 1 1/4',CURVA ELETRODUTO 1 1/4'
34P-JDG,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO 25A
381-H0T,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,BIFÁSICO,DISJUNTOR DIN BIFÁSICO,DISJUNTOR DIN BIFÁSICO 20A
3QN-44X,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO 10A
L03-P3M,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,BIFÁSICO,DISJUNTOR DIN BIFÁSICO,DISJUNTOR DIN BIFÁSICO 40A
LHR-X51,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,BIFÁSICO,DISJUNTOR DIN BIFÁSICO,DISJUNTOR DIN BIFÁSICO 32A
MMC-V6H,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO 40A
MPD-3IJ,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO 20A
NNE-4ZB,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO 32A
OW6-Q7Y,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO,DISJUNTOR DIN MONOFÁSICO 25A
UL8-U9I,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,DISJUNTOR,DIN,BIFÁSICO,DISJUNTOR DIN BIFÁSICO,DISJUNTOR DIN BIFÁSICO 50A
6EA-QQP,3 — Instalações brutas,INFRA_ELETRICA,FIOS ELÉTRICOS,FIO ELÉTRICO,,"1 X 04,00MM #10","FIO ELÉTRICO 1 X 04,00MM #10","FIO ELÉTRICO ELÉTRICO 1 X 04,00MM #10"
7H6-CZ4,3 — Instalações brutas,INFRA_ELETRICA,FIOS ELÉTRICOS,FIO ELÉTRICO,,"1 X 06,00MM #08","FIO ELÉTRICO 1 X 06,00MM #08","FIO ELÉTRICO ELÉTRICO 1 X 06,00MM #08"
7WL-3KR,3 — Instalações brutas,INFRA_ELETRICA,FIOS ELÉTRICOS,FIO ELÉTRICO,,"1 X 10,00MM #06","FIO ELÉTRICO 1 X 10,00MM #06","FIO ELÉTRICO ELÉTRICO 1 X 10,00MM #06"
AYN-T8B,3 — Instalações brutas,INFRA_ELETRICA,FIOS ELÉTRICOS,FIO ELÉTRICO,,"1 X 02,50MM #12","FIO ELÉTRICO 1 X 02,50MM #12","FIO ELÉTRICO ELÉTRICO 1 X 02,50MM #12"
V8Z-AIY,3 — Instalações brutas,INFRA_ELETRICA,FIOS ELÉTRICOS,FIO ELÉTRICO,,"1 X 01,50MM #14","FIO ELÉTRICO 1 X 01,50MM #14","FIO ELÉTRICO ELÉTRICO 1 X 01,50MM #14"
86T-EK1,3 — Instalações brutas,INFRA_ELETRICA,FIOS ELÉTRICOS,FIO PARALELO,,"2 X 01,00MM #16","FIO PARALELO 2 X 01,00MM #16","FIO PARALELO PARALELO 2 X 01,00MM #16"
CGT-PR8,3 — Instalações brutas,INFRA_ELETRICA,FIOS ELÉTRICOS,FIO PARALELO,,"2 X 04,00MM #10","FIO PARALELO 2 X 04,00MM #10","FIO PARALELO PARALELO 2 X 04,00MM #10"
HIS-8BN,3 — Instalações brutas,INFRA_ELETRICA,FIOS ELÉTRICOS,FIO PARALELO,,"2 X 02,50MM #12","FIO PARALELO 2 X 02,50MM #12","FIO PARALELO PARALELO 2 X 02,50MM #12"
L0I-C78,3 — Instalações brutas,INFRA_ELETRICA,FIOS ELÉTRICOS,FIO PARALELO,,"2 X 01,50MM #14","FIO PARALELO 2 X 01,50MM #14","FIO PARALELO PARALELO 2 X 01,50MM #14"
8F8-WZD,3 — Instalações brutas,INFRA_ELETRICA,MATERIAL ELÉTRICO,GRAMPO P/ FIO,14/16 25 UN,,GRAMPO P/ FIO 14/16 25 UN,GRAMPO P/ FIO 14/16 25 UN
940-DBB,3 — Instalações brutas,INFRA_ELETRICA,MATERIAL ELÉTRICO,GRAMPO P/ FIO,18/20 25 UN,,GRAMPO P/ FIO 18/20 25 UN,GRAMPO P/ FIO 18/20 25 UN
9KT-BHN,3 — Instalações brutas,INFRA_ELETRICA,MATERIAL ELÉTRICO,GRAMPO P/ FIO,16MM,,GRAMPO P/ FIO 16MM,GRAMPO P/ FIO 16MM
JMD-8QR,3 — Instalações brutas,INFRA_ELETRICA,MATERIAL ELÉTRICO,GRAMPO P/ FIO,10/12 25 UN,,GRAMPO P/ FIO 10/12 25 UN,GRAMPO P/ FIO 10/12 25 UN
2BD-ZVZ,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,HASTE DE ATERRAMENTO,"10.00 MM - 2,0 M",,"HASTE DE ATERRAMENTO 10.00 MM - 2,0 M","HASTE DE ATERRAMENTO DE COBRE 10.00 MM - 2,0 M"
7N6-5TI,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,HASTE DE ATERRAMENTO,"10.00 MM - 1,5 M",,"HASTE DE ATERRAMENTO 10.00 MM - 1,5 M","HASTE DE ATERRAMENTO DE COBRE 10.00 MM - 1,5 M"
08V-ZCG,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,LUVA,ELETRODUTO,1 1/4',LUVA ELETRODUTO 1 1/4',LUVA ELETRODUTO 1 1/4'
4MW-P0L,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,LUVA,ELETRODUTO,1,LUVA ELETRODUTO 1,LUVA ELETRODUTO 1
9UP-N0S,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,LUVA,ELETRODUTO,1 1/2',LUVA ELETRODUTO 1 1/2',LUVA ELETRODUTO 1 1/2'
DOB-07T,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,LUVA,ELETRODUTO,3/4',LUVA ELETRODUTO 3/4',LUVA ELETRODUTO 3/4'
GIP-S4N,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,LUVA,ELETRODUTO,1/2',LUVA ELETRODUTO 1/2',LUVA ELETRODUTO 1/2'
R8S-5V1,3 — Instalações brutas,,MATERIAL ELÉTRICO,PLACA CEGA 4X2,4X2,,PLACA CEGA 4X2,PLACA CEGA 4X2
JCB-KJ5,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,QUADRO DE DISTRIBUIÇÃO,12,,QUADRO DE DISTRIBUIÇÃO 12,QUADRO DE DISTRIBUIÇÃO 12 - TRIAL
D0K-Z9G,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,QUADRO DE DISTRIBUIÇÃO,12/16,,QUADRO DE DISTRIBUIÇÃO 12/16,QUADRO DE DISTRIBUIÇAO 12/16 - TIGRE
S8U-WCF,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,QUADRO DE DISTRIBUIÇÃO,16,,QUADRO DE DISTRIBUIÇÃO 16,QUADRO DE DISTRIBUIÇÃO 16 - KRONA
HDO-AP8,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,QUADRO DE DISTRIBUIÇÃO,3/4,,QUADRO DE DISTRIBUIÇÃO 3/4,QUADRO DE DISTRIBUIÇÃO 3/4 - TIGRE
CGC-39G,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,QUADRO DE DISTRIBUIÇÃO,9/6,,QUADRO DE DISTRIBUIÇÃO 9/6,QUADRO DE DISTRIBUIÇÃO 9/6 - MECTRONIC
EPA-7CM,7 — Instalação elétrica,QUADRO_ELETRICO,MATERIAL ELÉTRICO,QUADRO DE DISTRIBUIÇÃO,12,,QUADRO DE DISTRIBUIÇÃO 12,QUADRO DE DISTRIBUIÇÃO PARA EMBUTIR 12 PÓLOS - S/ BARRAMENTO
N2T-S3T,3 — Instalações brutas,,MATERIAL ELÉTRICO,RESISTÊNCIA,,,RESISTÊNCIA,RESISTENCIA 065 3T LORENULTRA 127/4600
J10-DXC,3 — Instalações brutas,,MATERIAL ELÉTRICO,RESISTÊNCIA,,,RESISTÊNCIA,RESISTENCIA 3055-Q 127V 5500W
RU6-NG6,3 — Instalações brutas,,MATERIAL ELÉTRICO,RESISTÊNCIA,,,RESISTÊNCIA,RESISTENCIA 3056E 127/5500 ELE ADVANCED/TOP
MCV-42T,3 — Instalações brutas,,MATERIAL ELÉTRICO,RESISTÊNCIA,,,RESISTÊNCIA,RESISTENCIA 3060A 127/5500 DUOSHOW/FUT
ICB-42A,3 — Instalações brutas,,MATERIAL ELÉTRICO,RESISTÊNCIA,,,RESISTÊNCIA,RESISTENCIA 3065 ACQUA ULTRA 127/5500
7FJ-0VO,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,TUBO ELETRODUTO,3/4,,TUBO ELETRODUTO 3/4,TUBO ELETRODUTO 3/4
HR9-1HK,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,TUBO ELETRODUTO,1 1/2,,TUBO ELETRODUTO 1 1/2,TUBO ELETRODUTO 1 1/2
Q3D-H0A,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,TUBO ELETRODUTO,1/2,,TUBO ELETRODUTO 1/2,TUBO ELETRODUTO 1/2
RAB-53G,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,TUBO ELETRODUTO,1,,TUBO ELETRODUTO 1,TUBO ELETRODUTO 1
YO2-TDH,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,TUBO ELETRODUTO,1 1/4,,TUBO ELETRODUTO 1 1/4,TUBO ELETRODUTO 1 1/4
7RL-R5W,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,CERAMICA A,,,CERAMICA A,CERAMICA A
0NL-YTJ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,ESPAÇADOR NIVELADOR DE REVESTIMENTO,2MM (50PÇS) CCG,,ESPAÇADOR NIVELADOR DE REVESTIMENTO 2MM (50PÇS) CCG,ESPAÇADOR NIVELADOR DE REVESTIMENTO 2MM (50PÇS) CCG
MKI-P3W,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,ESPAÇADOR NIVELADOR DE REVESTIMENTO,1MM (50PÇS) CCG,,ESPAÇADOR NIVELADOR DE REVESTIMENTO 1MM (50PÇS) CCG,ESPAÇADOR NIVELADOR DE REVESTIMENTO 1MM (50PÇS) CCG
5FR-BIS,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,JUNTA PISO EM CRUZ,2 MM,,JUNTA PISO EM CRUZ 2 MM,JUNTA PISO EM CRUZ ESPAÇADOR 2 MM
DBC-3L1,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,JUNTA PISO EM CRUZ,1 MM,,JUNTA PISO EM CRUZ 1 MM,JUNTA PISO EM CRUZ ESPAÇADOR 1 MM
XNB-37D,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,JUNTA PISO EM CRUZ,3 MM,,JUNTA PISO EM CRUZ 3 MM,JUNTA PISO EM CRUZ ESPAÇADOR 3 MM
5RU-2RW,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PAVER HEXAGONAL,,,PAVER HEXAGONAL,PAVER HEXAGONAL
9SN-VEG,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,"PAVER RETANG. 10,00 CM",,,"PAVER RETANG. 10,00 CM","PAVER RETANG. 10,00 CM LARG X 20,00 CM COMP X 08,00 CM ESPES"
000-K36,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,50x50,AGATA,CERAM BOLD ANTI 50x50 AGATA,"PISO 50x50 ADR AGATA HD  PEI 4 (CX 2,50 M²)"
002-5CS,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,33x59,BIANCO RT,CERAM RETIF POL 33x59 BIANCO RT,"PISO 33x59 BIANCO RT (2,02 M²/CX)"
02D-ZAL,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF BRILH,57x57,"ANTERA ACT LF EXTRA (CX 2,30 M²)  -","CERAM RETIF BRILH 57x57 ANTERA ACT LF EXTRA (CX 2,30 M²)  -","PISO 57x57 ANTERA ACT LF EXTRA (CX 2,30 M²)  -"
03M-QLT,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,NEWTON PT,CERAM BOLD PARE 34x60 NEWTON PT,PISO 34X60 NEWTON PT
06I-6PB,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,50x50,ANGELIN MATE,CERAM BOLD LISA 50x50 ANGELIN MATE,"PISO 50X50 ANGELIN ACT  PEI 3 (2,5M²/ CX)"
08S-F2J,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,STATUARIO,CERAM RETIF POL 60x120 STATUARIO,"PISO 60X120 STATUTARIO POLIDO (2,16M²/ CX)"
0GM-S8H,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,46x46,NEVE BR,CERAM BOLD SEMI 46x46 NEVE BR,"PISO 46x46 NEVE PEI 5 (2,30M²/ CX)"
0HY-SZL,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,20x120,JATOBA,CERAM RETIF MATE 20x120 JATOBA,"PISO 20x120 JATOBA HD RT (1,68 M²/ CX)"
0IU-WLL,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,83x83,"ANTARES POLIDO RT LB  (2,75 M²/ CX)","PISO 83x83 ANTARES POLIDO RT LB (2,75 M²/ CX)","PISO 83x83 ANTARES POLIDO RT LB  (2,75 M²/ CX)"
0KM-WXV,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,AMENDOLA,CERAM RETIF POL 60x120 AMENDOLA,PISO 60x120 AMENDOLA RET POLIDO E
0PH-96V,4 — Revestimentos,,DIVERSOS,PISO,50x50,"IMPERADOR HD50 (2,5M²/ CX)","PISO 50x50 IMPERADOR HD50 (2,5M²/ CX)","PISO 50X50 IMPERADOR HD50 (2,5M²/ CX)"
12L-X9P,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,NEVE BR,CERAM BOLD SEMI 45x45 NEVE BR,PISO 45X45 NEVE PEI5 (2 M²/CX)
19W-K2W,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,20x120,CARVALHO NATURAL,CERAM RETIF MATE 20x120 CARVALHO NATURAL,"PISO 20x120 CARVALHO NATURAL RET HD (1,68M² CAIXA)"
1E8-ZMY,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,SPRING,CERAM BOLD PARE 34x60 SPRING,"PISO 34x60 SPRING HD 45 PEI 3 (2,10 M²/ CX)"
1GD-W80,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,83x83,"CETUS CINZA POLIDO RT LB  (2,75 M²/ CX)","PISO 83x83 CETUS CINZA POLIDO RT LB (2,75 M²/ CX)","PISO 83x83 CETUS CINZA POLIDO RT LB  (2,75 M²/ CX)"
1IZ-HA5,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,CROSS,CERAM BOLD SEMI 45x45 CROSS,PISO 45x45 BRANCA CROSS OU TRAFEG
1MO-1YA,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,20x120,PANTANAL,CERAM RETIF MATE 20x120 PANTANAL,"PISO 20x120 PANTANAL (1,68 M²/CX)"
1MZ-ZBH,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,60x60,"CHARM PLUS RT LB  (2,5 M²/ CX)","PISO 60x60 CHARM PLUS RT LB (2,5 M²/ CX)","PISO 60x60 CHARM PLUS RT LB  (2,5 M²/ CX)"
1NQ-HM8,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,AZURRO,CERAM BOLD LISA 45x45 AZURRO,"PISO 45x45 AZURRO (2,00 M²/ CX) HD"
1S3-VTB,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF LISA,33x59,"CAJIQUINHA (2,02 M²/CX)","CERAM RETIF LISA 33x59 CAJIQUINHA (2,02 M²/CX)","PISO 33x59 CAJIQUINHA (2,02 M²/CX)"
2D5-VZ7,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,OREGON,CERAM BOLD LISA 45x45 OREGON,PISO 45x45 OREGON 45 (2 M²/CX)
2ES-05N,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD ANTI,45x45,ETNA CINZA,CERAM BOLD ANTI 45x45 ETNA CINZA,"PISO 45x45 ETNA CINZA (2,0M²/ CX) PEI 3"
2FU-GRT,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,33X62,HEXA,CERAM RETIF MATE 33X62 HEXA,"PISO 33X62 33X62 HEXA (1,64 M² / CX)"
2HV-K54,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,DELUXE,CERAM BOLD LISA 45x45 DELUXE,"PISO 45x45 DELUXE PEI3 (2,00 M²/ CX) 3358D"
2QG-KFD,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF ANTI,66x66,STONE,CERAM RETIF ANTI 66x66 STONE,"PISO 66x66 STONE BEGE ACT (2,18M²/ CX)"
2QI-R57,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,60x120,GRAN IMPERIUM DARK,CERAM RETIF POL 60x120 GRAN IMPERIUM DARK,PISO 60x120 GRAN IMPERIUM DARK RT
30F-SDJ,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,ARABIA SAUDITA,CERAM BOLD LISA 45x45 ARABIA SAUDITA,"PISO 45x45 ARABIA SAUDITA (2,0M²/ CX) PEI 3"
32O-QLP,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,81x81,"SALAMANCA POL (1,97 M²/CX)","PISO 81x81 SALAMANCA POL (1,97 M²/CX)","PISO 81x81 SALAMANCA POL (1,97 M²/CX)"
359-HRH,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,SAUDI AZUL,CERAM BOLD LISA 45x45 SAUDI AZUL,"PISO 45X45 SAUDI AZUL (2,0M²/ CX) PEI 3"
37L-PDM,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,YPE MARROM,CERAM BOLD LISA 45x45 YPE MARROM,"PISO 45x45 YPE MARROMM PEI2 (2,00 M²/ CX) 1"
3KE-WK6,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF MATE,60x120,AVELÃ,CERAM RETIF MATE 60x120 AVELÃ,PISO 60x120 AVELA MATE RETIFICADO
3MA-IVR,4 — Revestimentos,ASSENTAMENTO_CERAMICA,PISOS E REVESTIMENTOS,PISO,84x84,"MAIA PLUS MRE RT LE  (2,81 M²/ CX)","PISO 84x84 MAIA PLUS MRE RT LE (2,81 M²/ CX)","PISO 84x84 MAIA PLUS MRE RT LE  (2,81 M²/ CX)"
3ST-2BC,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD LISA,45x45,FIORENTINA HD,CERAM BOLD LISA 45x45 FIORENTINA HD,"PISO 45x45 FIORENTINA HD 34X60 PEI 3 (2,10 M²/ CX)"
3ZD-8NF,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF SEMI,81x81,LOMBARDIA BRANCO,CERAM RETIF SEMI 81x81 LOMBARDIA BRANCO,"PISO 81x81 LOMBARDIA BRANCO MATE RET (1,97M²/ CX)"
464-ER8,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA RETIF,CERAM RETIF POL,66x66,GRAFITE CZ,CERAM RETIF POL 66x66 GRAFITE CZ,"PISO 66x66 GRAFITE CZ RT POLIDO (2,18M²/CX)"
4MY-2YC,4 — Revestimentos,ASSENTAMENTO_CERAMICA,CERÂMICA BOLD,CERAM BOLD PARE,34x60,MOSAICO PRETA,CERAM BOLD PARE 34x60 MOSAICO PRETA,"PISO 34x60 MOSAICO PRETA 2,10M2 P"
