codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
GD6-UX9,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,"(3,6 L)",HIDRACOR,"TINTA P/ PISO (3,6 L) HIDRACOR",TINTA,"(3,6 L)",P/ PISO,HIDRACOR,VERDE,"TINTA (3,6 L) P/ PISO HIDRACOR VERDE"
GZH-2M7,G - PINTURA E QUÍMICOS,TINTA,TINTA ACRÍLICA FOSCO,(15 L),VPRO,TINTA ACRÍLICA FOSCO (15 L) VPRO,TINTA,(15 L),ACR. FOSCO ECON.,VPRO,AREIA,TINTA (15 L) ACR. FOSCO ECON. VPRO AREIA
HLI-7PN,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,(750 ML),VERBRAS,TINTA ESMALTE SINTÉTICO (750 ML) VERBRAS,TINTA,(750 ML),ESMALTE,VERBRAS,AMARELO,TINTA (750 ML) ESMALTE VERBRAS AMARELO
I29-LIP,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,"(3,6 L)",IQUINE,"TINTA P/ PISO (3,6 L) IQUINE",TINTA,"(3,6 L)",P/ PISO,IQUINE,AMARELO DEMARÇÃO,"TINTA (3,6 L) P/ PISO IQUINE AMARELO DEMARÇÃO"
IPN-14G,G - PINTURA E QUÍMICOS,TINTA,TINTA ACRÍLICA FOSCO,(15 L),HIPERCOR,TINTA ACRÍLICA FOSCO (15 L) HIPERCOR,TINTA,(15 L),ACR. FOSCO ECON.,HIPERCOR,BRANCO NEVE,TINTA (15 L) ACR. FOSCO ECON. HIPERCOR BRANCO NEVE
IRW-V8H,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,"(3,6 L)",HIDRACOR,"TINTA P/ PISO (3,6 L) HIDRACOR",TINTA,"(3,6 L)",P/ PISO,HIDRACOR,VERMELHO SEGURANÇA,"TINTA (3,6 L) P/ PISO HIDRACOR VERMELHO SEGURANÇA"
J0K-IKQ,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,(900 ML),VERBRAS,TINTA ESMALTE SINTÉTICO (900 ML) VERBRAS,TINTA,(900 ML),ESMALTE,VERBRAS,CREME,TINTA (900 ML) ESMALTE VERBRAS CREME
J6C-A9P,G - PINTURA E QUÍMICOS,TINTA,TINTA ACRÍLICA FOSCO,"(3,6L)",VITÓRIA RÉGIA,"TINTA ACRÍLICA FOSCO (3,6L) VITÓRIA RÉGIA",TINTA,"(3,6L)",ACR. FOSCO ECON.,VITÓRIA RÉGIA,HORTENCIA,"TINTA (3,6L) ACR. FOSCO ECON. VITÓRIA RÉGIA HORTENCIA"
JLL-QG2,G - PINTURA E QUÍMICOS,TINTA,TINTA ACRÍLICA FOSCO,"(3,6 L)",VPRO,"TINTA ACRÍLICA FOSCO (3,6 L) VPRO",TINTA,"(3,6 L)",ACR. FOSCO ECON.,VPRO,LARANJA CÍTRICO,"TINTA (3,6 L) ACR. FOSCO ECON. VPRO LARANJA CÍTRICO"
JR6-D81,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,"(3,6 L)",HIDRACOR,"TINTA P/ PISO (3,6 L) HIDRACOR",TINTA,"(3,6 L)",P/ PISO,HIDRACOR,AMARELO DEMARCAÇÃO,"TINTA (3,6 L) P/ PISO HIDRACOR AMARELO DEMARCAÇÃO"
K3E-BEU,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,(750 ML),VERBRAS,TINTA ESMALTE SINTÉTICO (750 ML) VERBRAS,TINTA,(750 ML),ESMALTE,VERBRAS,AZUL FRANÇA,TINTA (750 ML) ESMALTE VERBRAS AZUL FRANÇA
