codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
5RU-2RW,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PAVER HEXAGONAL,,,PAVER HEXAGONAL,PAVER HEXAGONAL,,,,,PAVER HEXAGONAL
9SN-VEG,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,"PAVER RETANG. 10,00 CM",,,"PAVER RETANG. 10,00 CM","PAVER RETANG. 10,00 CM LARG X 20,00 CM COMP X 08,00 CM ESPES",,,,,"PAVER RETANG. 10,00 CM LARG X 20,00 CM COMP X 08,00 CM ESPES"
000-K36,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD ANTI,50x50,AGATA,CERAM BOLD ANTI 50x50 AGATA,PISO,50x50,"ADR AGATA HD  PEI 4 (CX 2,50 M²)",,,"PISO 50x50 ADR AGATA HD  PEI 4 (CX 2,50 M²)"
002-5CS,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,33x59,BIANCO RT,CERAM RETIF POL 33x59 BIANCO RT,PISO,33x59,"BIANCO RT (2,02 M²/CX)",,,"PISO 33x59 BIANCO RT (2,02 M²/CX)"
02D-ZAL,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF BRILH,57x57,"ANTERA ACT LF EXTRA (CX 2,30 M²)  -","CERAM RETIF BRILH 57x57 ANTERA ACT LF EXTRA (CX 2,30 M²)  -",PISO,57x57,"ANTERA ACT LF EXTRA (CX 2,30 M²)  -",,,"PISO 57x57 ANTERA ACT LF EXTRA (CX 2,30 M²)  -"
03M-QLT,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD PARE,34x60,NEWTON PT,CERAM BOLD PARE 34x60 NEWTON PT,PISO,34x60,NEWTON PT,,,PISO 34X60 NEWTON PT
06I-6PB,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,50x50,ANGELIN MATE,CERAM BOLD LISA 50x50 ANGELIN MATE,PISO,50x50,"ANGELIN ACT  PEI 3 (2,5M²/ CX)",,,"PISO 50X50 ANGELIN ACT  PEI 3 (2,5M²/ CX)"
08S-F2J,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,60x120,STATUARIO,CERAM RETIF POL 60x120 STATUARIO,PISO,60x120,"STATUTARIO POLIDO (2,16M²/ CX)",,,"PISO 60X120 STATUTARIO POLIDO (2,16M²/ CX)"
0GM-S8H,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD SEMI,46x46,NEVE BR,CERAM BOLD SEMI 46x46 NEVE BR,PISO,46x46,"NEVE PEI 5 (2,30M²/ CX)",,,"PISO 46x46 NEVE PEI 5 (2,30M²/ CX)"
0HY-SZL,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,20x120,JATOBA,CERAM RETIF MATE 20x120 JATOBA,PISO,20x120,"JATOBA HD RT (1,68 M²/ CX)",,,"PISO 20x120 JATOBA HD RT (1,68 M²/ CX)"
0IU-WLL,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,83x83,"ANTARES POLIDO RT LB  (2,75 M²/ CX)","PISO 83x83 ANTARES POLIDO RT LB (2,75 M²/ CX)",PISO,83x83,"ANTARES POLIDO RT LB  (2,75 M²/ CX)",,,"PISO 83x83 ANTARES POLIDO RT LB  (2,75 M²/ CX)"
0KM-WXV,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,60x120,AMENDOLA,CERAM RETIF POL 60x120 AMENDOLA,PISO,60x120,AMENDOLA RET POLIDO E,,,PISO 60x120 AMENDOLA RET POLIDO E
0PH-96V,E - PISOS E REVESTIMENTOS,DIVERSOS,PISO,50x50,"IMPERADOR HD50 (2,5M²/ CX)","PISO 50x50 IMPERADOR HD50 (2,5M²/ CX)",PISO,50x50,"IMPERADOR HD50 (2,5M²/ CX)",,,"PISO 50X50 IMPERADOR HD50 (2,5M²/ CX)"
12L-X9P,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,NEVE BR,CERAM BOLD SEMI 45x45 NEVE BR,PISO,45x45,NEVE PEI5 (2 M²/CX),,,PISO 45X45 NEVE PEI5 (2 M²/CX)
19W-K2W,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,20x120,CARVALHO NATURAL,CERAM RETIF MATE 20x120 CARVALHO NATURAL,PISO,20x120,"CARVALHO NATURAL RET HD (1,68M² CAIXA)",,,"PISO 20x120 CARVALHO NATURAL RET HD (1,68M² CAIXA)"
1E8-ZMY,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD PARE,34x60,SPRING,CERAM BOLD PARE 34x60 SPRING,PISO,34x60,"SPRING HD 45 PEI 3 (2,10 M²/ CX)",,,"PISO 34x60 SPRING HD 45 PEI 3 (2,10 M²/ CX)"
1GD-W80,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,83x83,"CETUS CINZA POLIDO RT LB  (2,75 M²/ CX)","PISO 83x83 CETUS CINZA POLIDO RT LB (2,75 M²/ CX)",PISO,83x83,"CETUS CINZA POLIDO RT LB  (2,75 M²/ CX)",,,"PISO 83x83 CETUS CINZA POLIDO RT LB  (2,75 M²/ CX)"
1IZ-HA5,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,CROSS,CERAM BOLD SEMI 45x45 CROSS,PISO,45x45,BRANCA CROSS OU TRAFEG,,,PISO 45x45 BRANCA CROSS OU TRAFEG
1MO-1YA,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,20x120,PANTANAL,CERAM RETIF MATE 20x120 PANTANAL,PISO,20x120,"PANTANAL (1,68 M²/CX)",,,"PISO 20x120 PANTANAL (1,68 M²/CX)"
1MZ-ZBH,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,60x60,"CHARM PLUS RT LB  (2,5 M²/ CX)","PISO 60x60 CHARM PLUS RT LB (2,5 M²/ CX)",PISO,60x60,"CHARM PLUS RT LB  (2,5 M²/ CX)",,,"PISO 60x60 CHARM PLUS RT LB  (2,5 M²/ CX)"
1NQ-HM8,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,AZURRO,CERAM BOLD LISA 45x45 AZURRO,PISO,45x45,"AZURRO (2,00 M²/ CX) HD",,,"PISO 45x45 AZURRO (2,00 M²/ CX) HD"
1S3-VTB,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF LISA,33x59,"CAJIQUINHA (2,02 M²/CX)","CERAM RETIF LISA 33x59 CAJIQUINHA (2,02 M²/CX)",PISO,33x59,"CAJIQUINHA (2,02 M²/CX)",,,"PISO 33x59 CAJIQUINHA (2,02 M²/CX)"
2D5-VZ7,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,OREGON,CERAM BOLD LISA 45x45 OREGON,PISO,45x45,OREGON 45 (2 M²/CX),,,PISO 45x45 OREGON 45 (2 M²/CX)
2ES-05N,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD ANTI,45x45,ETNA CINZA,CERAM BOLD ANTI 45x45 ETNA CINZA,PISO,45x45,"ETNA CINZA (2,0M²/ CX) PEI 3",,,"PISO 45x45 ETNA CINZA (2,0M²/ CX) PEI 3"
2FU-GRT,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,33X62,HEXA,CERAM RETIF MATE 33X62 HEXA,PISO,33X62,"33X62 HEXA (1,64 M² / CX)",,,"PISO 33X62 33X62 HEXA (1,64 M² / CX)"
2HV-K54,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,DELUXE,CERAM BOLD LISA 45x45 DELUXE,PISO,45x45,"DELUXE PEI3 (2,00 M²/ CX) 3358D",,,"PISO 45x45 DELUXE PEI3 (2,00 M²/ CX) 3358D"
2QG-KFD,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF ANTI,66x66,STONE,CERAM RETIF ANTI 66x66 STONE,PISO,66x66,"STONE BEGE ACT (2,18M²/ CX)",,,"PISO 66x66 STONE BEGE ACT (2,18M²/ CX)"
2QI-R57,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,60x120,GRAN IMPERIUM DARK,CERAM RETIF POL 60x120 GRAN IMPERIUM DARK,PISO,60x120,GRAN IMPERIUM DARK RT,,,PISO 60x120 GRAN IMPERIUM DARK RT
30F-SDJ,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,ARABIA SAUDITA,CERAM BOLD LISA 45x45 ARABIA SAUDITA,PISO,45x45,"ARABIA SAUDITA (2,0M²/ CX) PEI 3",,,"PISO 45x45 ARABIA SAUDITA (2,0M²/ CX) PEI 3"
32O-QLP,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,81x81,"SALAMANCA POL (1,97 M²/CX)","PISO 81x81 SALAMANCA POL (1,97 M²/CX)",PISO,81x81,"SALAMANCA POL (1,97 M²/CX)",,,"PISO 81x81 SALAMANCA POL (1,97 M²/CX)"
359-HRH,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,SAUDI AZUL,CERAM BOLD LISA 45x45 SAUDI AZUL,PISO,45x45,"SAUDI AZUL (2,0M²/ CX) PEI 3",,,"PISO 45X45 SAUDI AZUL (2,0M²/ CX) PEI 3"
37L-PDM,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,YPE MARROM,CERAM BOLD LISA 45x45 YPE MARROM,PISO,45x45,"YPE MARROMM PEI2 (2,00 M²/ CX) 1",,,"PISO 45x45 YPE MARROMM PEI2 (2,00 M²/ CX) 1"
3KE-WK6,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,60x120,AVELÃ,CERAM RETIF MATE 60x120 AVELÃ,PISO,60x120,AVELA MATE RETIFICADO,,,PISO 60x120 AVELA MATE RETIFICADO
3MA-IVR,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,84x84,"MAIA PLUS MRE RT LE  (2,81 M²/ CX)","PISO 84x84 MAIA PLUS MRE RT LE (2,81 M²/ CX)",PISO,84x84,"MAIA PLUS MRE RT LE  (2,81 M²/ CX)",,,"PISO 84x84 MAIA PLUS MRE RT LE  (2,81 M²/ CX)"
3ST-2BC,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,FIORENTINA HD,CERAM BOLD LISA 45x45 FIORENTINA HD,PISO,45x45,"FIORENTINA HD 34X60 PEI 3 (2,10 M²/ CX)",,,"PISO 45x45 FIORENTINA HD 34X60 PEI 3 (2,10 M²/ CX)"
3ZD-8NF,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF SEMI,81x81,LOMBARDIA BRANCO,CERAM RETIF SEMI 81x81 LOMBARDIA BRANCO,PISO,81x81,"LOMBARDIA BRANCO MATE RET (1,97M²/ CX)",,,"PISO 81x81 LOMBARDIA BRANCO MATE RET (1,97M²/ CX)"
464-ER8,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,66x66,GRAFITE CZ,CERAM RETIF POL 66x66 GRAFITE CZ,PISO,66x66,"GRAFITE CZ RT POLIDO (2,18M²/CX)",,,"PISO 66x66 GRAFITE CZ RT POLIDO (2,18M²/CX)"
4MY-2YC,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD PARE,34x60,MOSAICO PRETA,CERAM BOLD PARE 34x60 MOSAICO PRETA,PISO,34x60,"MOSAICO PRETA 2,10M2 P",,,"PISO 34x60 MOSAICO PRETA 2,10M2 P"
4O4-4ZU,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,MINERALE MR,CERAM BOLD LISA 45x45 MINERALE MR,PISO,45x45,"MINERALE MRM ESM HD  45 PEI 3 (2,00 M²/ CX)",,,"PISO 45x45 MINERALE MRM ESM HD  45 PEI 3 (2,00 M²/ CX)"
4OI-6FP,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF ANTI,81x81,MALI CZ,CERAM RETIF ANTI 81x81 MALI CZ,PISO,81x81,"MALI CZ POL (1,97 M²/CX)",,,"PISO 81x81 MALI CZ POL (1,97 M²/CX)"
4OW-ZRW,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD PARE,34x60,BIANCO MATE,CERAM BOLD PARE 34x60 BIANCO MATE,PISO,34x60,BRANCO ACETIN,,,PISO 34x60 BRANCO ACETIN
4Y9-DVI,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,33x59,TAIKO MARFIM RET,CERAM RETIF MATE 33x59 TAIKO MARFIM RET,PISO,33x59,TAIKO MARFIM RET,,,PISO 33x59 TAIKO MARFIM RET
53U-0LC,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,60x120,GRAN LUMINI,CERAM RETIF POL 60x120 GRAN LUMINI,PISO,60x120,GRAN LUMINI RT POLIDO,,,PISO 60x120 GRAN LUMINI RT POLIDO
59F-9BM,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,61x61,"ASSOALHO 2,23M2 HD P","PISO 61x61 ASSOALHO 2,23M2 HD P",PISO,61x61,"ASSOALHO 2,23M2 HD P",,,"PISO 61x61 ASSOALHO 2,23M2 HD P"
5MV-FDF,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,LAGUNA,CERAM BOLD LISA 45x45 LAGUNA,PISO,45x45,"LAGUNA PEI 4 (2,00M² / CX)",,,"PISO 45X45 LAGUNA PEI 4 (2,00M² / CX)"
5N1-L7E,E - PISOS E REVESTIMENTOS,DIVERSOS,PISO,34x60,"AMBIENTE BR (2,1 M²/CX)","PISO 34x60 AMBIENTE BR (2,1 M²/CX)",PISO,34x60,"AMBIENTE BR (2,1 M²/CX)",,,"PISO 34X60 AMBIENTE BR (2,1 M²/CX)"
5NH-LJW,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD ANTI,45x45,SAN LORENZO P&B,CERAM BOLD ANTI 45x45 SAN LORENZO P&B,PISO,45x45,"SAN LORENZO P&B (2,00 M²/ CX) HD",,,"PISO 45x45 SAN LORENZO P&B (2,00 M²/ CX) HD"
5TY-TS1,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,"BOSCO MARROM PEI 3 (2,00 M²/ CX)","CERAM BOLD LISA 45x45 BOSCO MARROM PEI 3 (2,00 M²/ CX)",PISO,45x45,"BOSCO MARROM PEI 3 (2,00 M²/ CX)",,,"PISO 45x45 BOSCO MARROM PEI 3 (2,00 M²/ CX)"
5YT-Y4H,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,60x60,HOUSE CINZA,CERAM RETIF MATE 60x60 HOUSE CINZA,PISO,60x60,"HOUSE CINZA RET (2,15 M²/CX) ]",,,"PISO 60x60 HOUSE CINZA RET (2,15 M²/CX) ]"
5YY-Q46,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,88x88,"PERSA BG ACT (2,32M²/ CX)","PISO 88x88 PERSA BG ACT (2,32M²/ CX)",PISO,88x88,"PERSA BG ACT (2,32M²/ CX)",,,"PISO 88x88 PERSA BG ACT (2,32M²/ CX)"
61H-1K7,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,33x59,AREIA RT,CERAM RETIF POL 33x59 AREIA RT,PISO,33x59,"AREIA RT  (2,02 M²/CX)",,,"PISO 33x59 AREIA RT  (2,02 M²/CX)"
666-PTG,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,60x120,BELLA GOLD,CERAM RETIF POL 60x120 BELLA GOLD,PISO,60x120,"BELLA GOLD RT POL (2,16M²/ CX)",,,"PISO 60X120 BELLA GOLD RT POL (2,16M²/ CX)"
68T-JNZ,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,84x84,"LÁCTEA PLUS MRE RT LE  (2,81 M²/ CX)","PISO 84x84 LÁCTEA PLUS MRE RT LE (2,81 M²/ CX)",PISO,84x84,"LÁCTEA PLUS MRE RT LE  (2,81 M²/ CX)",,,"PISO 84x84 LÁCTEA PLUS MRE RT LE  (2,81 M²/ CX)"
6C5-9TP,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,66x66,SIRIUS GRAY,CERAM RETIF POL 66x66 SIRIUS GRAY,PISO,66x66,"SIRIUS GRAY RET POLIDO (2,18 M²/ CX)",,,"PISO 66x66 SIRIUS GRAY RET POLIDO (2,18 M²/ CX)"
6CU-68D,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,66x66,GRAFITE CZ,CERAM RETIF MATE 66x66 GRAFITE CZ,PISO,66x66,"GRAFITE ACR (2,18 M²/CX)",,,"PISO 66x66 GRAFITE ACR (2,18 M²/CX)"
6Q9-VSK,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,BIANCO,CERAM BOLD LISA 45x45 BIANCO,PISO,45x45,BRANCA LISA BIANCO 2 M2 PEI4 5505D,,,PISO 45x45 BRANCA LISA BIANCO 2 M2 PEI4 5505D
6V1-HA0,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD PARE,34x60,LUCCA BR,CERAM BOLD PARE 34x60 LUCCA BR,PISO,34x60,LUCCA BR HD,,,PISO 34x60 LUCCA BR HD
6W3-VWJ,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,87x87,"CEMENT CLEAR MATE  RET (2,27 M²/ CX)","PISO 87x87 CEMENT CLEAR MATE RET (2,27 M²/ CX)",PISO,87x87,"CEMENT CLEAR MATE  RET (2,27 M²/ CX)",,,"PISO 87x87 CEMENT CLEAR MATE  RET (2,27 M²/ CX)"
74S-2RN,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,20x120,COPAIBA,CERAM RETIF MATE 20x120 COPAIBA,PISO,20x120,"COPAIBA RT HD (1,68M² X CX)",,,"PISO 20x120 COPAIBA RT HD (1,68M² X CX)"
79D-98O,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,66x66,IMPERIUM DARK,CERAM RETIF POL 66x66 IMPERIUM DARK,PISO,66x66,"IMPERIUM DARK  RET POLIDO (2,18 M²/ CX)",,,"PISO 66x66 IMPERIUM DARK  RET POLIDO (2,18 M²/ CX)"
7L0-NFY,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,83x83,"NASA POLIDO RT LB  (2,75 M²/ CX)","PISO 83x83 NASA POLIDO RT LB (2,75 M²/ CX)",PISO,83x83,"NASA POLIDO RT LB  (2,75 M²/ CX)",,,"PISO 83x83 NASA POLIDO RT LB  (2,75 M²/ CX)"
7LK-7LS,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,20x120,PEROBA,CERAM RETIF MATE 20x120 PEROBA,PISO,20x120,"PEROBA HD RT (1,68 M²/ CX)",,,"PISO 20x120 PEROBA HD RT (1,68 M²/ CX)"
7N5-QZZ,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,66x66,MILANO CZ,CERAM RETIF MATE 66x66 MILANO CZ,PISO,66x66,"MILANO CZ MATE RT  POLIDO (CX 2,188 M²)",,,"PISO 66x66 MILANO CZ MATE RT  POLIDO (CX 2,188 M²)"
7PZ-5RZ,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD PARE,34x60,VITRAL BR,CERAM BOLD PARE 34x60 VITRAL BR,PISO,34x60,VITRAL BR EXTRA CX2.10,,,PISO 34x60 VITRAL BR EXTRA CX2.10
8D3-DQ5,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,81x81,CALACATA BIANCO,CERAM RETIF POL 81x81 CALACATA BIANCO,PISO,81x81,"CALACATA BIANCO  RET POLIDO(1,97M²/ CX)",,,"PISO 81x81 CALACATA BIANCO  RET POLIDO(1,97M²/ CX)"
8N5-QNH,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,66x66,STATUARIO,CERAM RETIF POL 66x66 STATUARIO,PISO,66x66,"STATUTARIO RT POLIDO (2,18 M²/ CX)",,,"PISO 66x66 STATUTARIO RT POLIDO (2,18 M²/ CX)"
8OG-UOD,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,20x60,CASTANHO,CERAM BOLD LISA 20x60 CASTANHO,PISO,20x60,CASTANHO HD (1.46M2),,,PISO 20X60 CASTANHO HD (1.46M2)
8ST-2PH,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,66x66,DETROIT,CERAM RETIF MATE 66x66 DETROIT,PISO,66x66,"DETROIT MATE ACET LD (2,18,M²/ CX)",,,"PISO 66x66 DETROIT MATE ACET LD (2,18,M²/ CX)"
8ZB-UEP,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,60x60,BRANCO MATE,CERAM RETIF MATE 60x60 BRANCO MATE,PISO,60x60,BRANCO ACT RETIFIC,,,PISO 60x60 BRANCO ACT RETIFIC
9AX-3HK,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,JAVA VERDE,CERAM BOLD SEMI 45x45 JAVA VERDE,PISO,45x45,"JAVA VERDE PEI 5 (2,00M²/ CX)",,,"PISO 45x45 JAVA VERDE PEI 5 (2,00M²/ CX)"
9CA-JOZ,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,81x81,"DOMINIQUE AZUL POL (1,97 M²/CX)","PISO 81x81 DOMINIQUE AZUL POL (1,97 M²/CX)",PISO,81x81,"DOMINIQUE AZUL POL (1,97 M²/CX)",,,"PISO 81x81 DOMINIQUE AZUL POL (1,97 M²/CX)"
9L6-F9Q,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD SEMI,50x50,ARTICO,CERAM BOLD SEMI 50x50 ARTICO,PISO,50x50,"SEM ARTICO HD  PEI 5 (CX 2,50 M²)",,,"PISO 50x50 SEM ARTICO HD  PEI 5 (CX 2,50 M²)"
9NV-CH6,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF MATE,60x60,GRAFFIATO CZ,CERAM RETIF MATE 60x60 GRAFFIATO CZ,PISO,60x60,"GRAFFIATO CZ MATE RET (2,15 M²/CX)",,,"PISO 60x60 GRAFFIATO CZ MATE RET (2,15 M²/CX)"
9QU-OAH,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD SEMI,45x45,ASTRA CZ,CERAM BOLD SEMI 45x45 ASTRA CZ,PISO,45x45,"ASTRA CINZA  PEI 4CX ((2,00 M²/ CX))",,,"PISO 45x45 ASTRA CINZA  PEI 4CX ((2,00 M²/ CX))"
9X5-OJ7,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,RIVIERA CZ,CERAM BOLD LISA 45x45 RIVIERA CZ,PISO,45x45,"RIVIERA CZ (2,00 M²/ CX) PEL4 55",,,"PISO 45x45 RIVIERA CZ (2,00 M²/ CX) PEL4 55"
A1H-215,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,TERRAGUA,CERAM BOLD LISA 45x45 TERRAGUA,PISO,45x45,"TERRAGUA (2,00 M²/ CX) PEL4 1325",,,"PISO 45x45 TERRAGUA (2,00 M²/ CX) PEL4 1325"
A7T-XP1,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,60x120,GRAN MARMI DELUX,CERAM RETIF POL 60x120 GRAN MARMI DELUX,PISO,60x120,"MARMI DELUX RT POL (2,16M²/ CX)",,,"PISO 60X120 MARMI DELUX RT POL (2,16M²/ CX)"
A94-J3Q,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD PARE,34x60,FILETE 58,CERAM BOLD PARE 34x60 FILETE 58,PISO,34x60,"FILETE 57 PEI3 CX 2,10",,,"PISO 34x60 FILETE 57 PEI3 CX 2,10"
AD7-NV0,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,AREIA,CERAM BOLD LISA 45x45 AREIA,PISO,45x45,"BEGE LISA OU AREIA PEI4 CX (2,00 M²/ CX)",,,"PISO 45x45 BEGE LISA OU AREIA PEI4 CX (2,00 M²/ CX)"
AEV-3DQ,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,PISO,61x61,"PORTO HD EXTRA 2,23M2","PISO 61x61 PORTO HD EXTRA 2,23M2",PISO,61x61,"PORTO HD EXTRA 2,23M2",,,"PISO 61x61 PORTO HD EXTRA 2,23M2"
AN4-5EN,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,20x60,FLAMBOYANT,CERAM BOLD LISA 20x60 FLAMBOYANT,PISO,20x60,FLAMBOYANT HD (1.46M2),,,PISO 20X60 FLAMBOYANT HD (1.46M2)
AV7-Z9D,E - PISOS E REVESTIMENTOS,DIVERSOS,PISO,45x45,"DELUXE  45 PEI 3 (2,00 M²/ CX)","PISO 45x45 DELUXE 45 PEI 3 (2,00 M²/ CX)",PISO,45x45,"DELUXE  45 PEI 3 (2,00 M²/ CX)",,,"PISO 45X45 DELUXE  45 PEI 3 (2,00 M²/ CX)"
AVF-R41,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,ILUMINAR,CERAM BOLD LISA 45x45 ILUMINAR,PISO,45x45,"ILUMINAR BG (2,00 M²/ CX) PEI4 5",,,"PISO 45x45 ILUMINAR BG (2,00 M²/ CX) PEI4 5"
BD7-XM9,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,TRAVERTINO BG,CERAM BOLD LISA 45x45 TRAVERTINO BG,PISO,45x45,"TRAVERTINO BEGE (2,00 M²/ CX) PE",,,"PISO 45x45 TRAVERTINO BEGE (2,00 M²/ CX) PE"
BI9-11S,E - PISOS E REVESTIMENTOS,CERÂMICA RETIF,CERAM RETIF POL,66x66,BRONZE ARMANI,CERAM RETIF POL 66x66 BRONZE ARMANI,PISO,66x66,"BRONZE ARMANI POL (2,18 M²/CX)",,,"PISO 66x66 BRONZE ARMANI POL (2,18 M²/CX)"
BIL-0H2,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD LISA,45x45,TITANIO,CERAM BOLD LISA 45x45 TITANIO,PISO,45x45,"TITANIO (2,00 M²/ CX) PEI2 1324D",,,"PISO 45x45 TITANIO (2,00 M²/ CX) PEI2 1324D"
BJJ-782,E - PISOS E REVESTIMENTOS,CERÂMICA BOLD,CERAM BOLD PARE,34x60,FINALE,CERAM BOLD PARE 34x60 FINALE,PISO,34x60,"FINALLE (2,02 M²/CX)",,,"PISO 34x60 FINALLE (2,02 M²/CX)"
