codigo;lote;motivo;nome_original;nome_actual_db;status;ativo
HTY-5R9;4;Produto avulso — revisar depois;RALO SIMPLES QUADRADO - SOCEL;RALO SIMPLES QUADRADO - SOCEL;ok;true
IHS-86X;4;Registro + medida;REGISTRO ESFERA PLASTICO 32MM SOLDAVEL - VEPS132;REGISTRO ESFERA PLASTICO 32MM SOLDAVEL - VEPS132;ok;true
W11-5BF;4;Registro + medida;REGISTRO ESFERA ROSCÁVEL METAL 3/4;REGISTRO ESFERA ROSCÁVEL METAL 3/4;ok;true
3HY-OH3;4;Revestimento + formato;REV. 7,5X15 LINHA SOFT BRANCO (1,00m²/ CX)   #M;REV. 7,5X15 LINHA SOFT BRANCO (1,00m²/ CX)   #M;ok;true
J25-VCG;4;Produto avulso — revisar depois;ROLO DE ESPUMA 15 CM;ROLO DE ESPUMA 15 CM;ok;true
4KW-7YB;4;Torneira por uso;TORNEIRA JARDIM/PAREDE PRETO  1/2;TORNEIRA JARDIM/PAREDE PRETO  1/2;ok;true
2PW-UIM;4;Tinta/verniz: produto + volume;TINTA SPRAY METÁLICA - DOURADO;TINTA SPRAY METÁLICA - DOURADO;ok;true
S69-W4Q;4;Tinta/verniz: produto + volume;TINTA SPRAY METÁLICA - PRATA;TINTA SPRAY METÁLICA - PRATA;ok;true
SVB-HW8;4;Torneira por uso;TORNEIRA PLASTICA TANQUE CURTA 10CM 1/2;TORNEIRA PLASTICA TANQUE CURTA 10CM 1/2;ok;true
S24-9LG;4;Massa/argamassa: produto + apresentação;MASSA CORRIDA (BD 4 KG) LUX #G;MASSA CORRIDA (BD 4 KG) LUX #G;ok;true
043-5GC;4;Produto avulso — revisar depois;ROLO DE LA ANTI-RESPINGO 23CM S/CABO ROMA 822-23;ROLO DE LA ANTI-RESPINGO 23CM S/CABO ROMA 822-23;ok;true
E6N-9FB;4;Tinta/verniz: produto + volume;TINTA SPRAY TEKBOND 350ML - GRAFITE;TINTA SPRAY TEKBOND 350ML - GRAFITE;ok;true
SXM-3DO;4;Produto avulso — revisar depois;PLAFON PLASTICO BRANCO;PLAFON PLASTICO BRANCO;ok;true
67O-V56;4;Registro + medida;REGISTRO ESFERA PLAST 20MM SOLDAVEL - VEPS120;REGISTRO ESFERA PLAST 20MM SOLDAVEL - VEPS120;ok;true
POH-R93;4;Produto avulso — revisar depois;ROLO DE ESPUMA 23 CM;ROLO DE ESPUMA 23 CM;ok;true
58D-Z6X;4;Massa/argamassa: produto + apresentação;MASSA CORRIDA (BD 20 KG) LUX #G;MASSA CORRIDA (BD 20 KG) LUX #G;ok;true
QYI-7MI;4;Perfil PVC + comprimento;PERFIL DE PVC F 06M #G;PERFIL DE PVC F 06M #G;ok;true
2F6-DYM;4;Revestimento + formato;REV EKP 34X50 DINAMARCA MIX EXT (2.38M2);REV EKP 34X50 DINAMARCA MIX EXT (2.38M2);ok;true
